Year of interview 2011
,"CI","","( 71.8 - 79.7)","( 20.3 - 28.2)","n/a"





Year of interview 2016
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",693,142,835
,"N","",231718,62017,293735
,"%","",78.9,21.1,100.0
,"CI","","( 75.1 - 82.7)","( 17.3 - 24.9)","n/a"
"Yes","n","",83,17,100
,"N","",24545,7864,32409
,"%","",75.7,24.3,100.0
,"CI","","( 64.0 - 87.5)","( 12.5 - 36.0)","n/a"
"Total","n","",776,159,935
,"N","",256263,69881,326144
,"%","",78.6,21.4,100.0
,"CI","","( 75.0 - 82.2)","( 17.8 - 25.0)","n/a"





Year of interview 2017
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",1136,185,1321
,"N","",576767,119997,696764
,"%","",82.8,17.2,100.0
,"CI","","( 80.1 - 85.5)","( 14.5 - 19.9)","n/a"
"Yes","n","",131,27,158
,"N","",54678,15716,70394
,"%","",77.7,22.3,100.0
,"CI","","( 69.1 - 86.3)","( 13.7 - 30.9)","n/a"
"Total","n","",1267,212,1479
,"N","",631444,135713,767158
,"%","",82.3,17.7,100.0
,"CI","","( 79.7 - 84.9)","( 15.1 - 20.3)","n/a"





Year of interview 2018
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",923,134,1057
,"N","",594423,92462,686885
,"%","",86.5,13.5,100.0
,"CI","","( 84.0 - 89.1)","( 10.9 - 16.0)","n/a"
"Yes","n","",113,25,138
,"N","",61831,22516,84348
,"%","",73.3,26.7,100.0
,"CI","","( 63.3 - 83.3)","( 16.7 - 36.7)","n/a"
"Total","n","",1036,159,1195
,"N","",656255,114978,771233
,"%","",85.1,14.9,100.0
,"CI","","( 82.5 - 87.6)","( 12.4 - 17.5)","n/a"





Year of interview 2019
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",1023,149,1172
,"N","",587446,107035,694481
,"%","",84.6,15.4,100.0
,"CI","","( 81.9 - 87.2)","( 12.8 - 18.1)","n/a"
"Yes","n","",107,26,133
,"N","",58239,16673,74912
,"%","",77.7,22.3,100.0
,"CI","","( 69.2 - 86.3)","( 13.7 - 30.8)","n/a"
"Total","n","",1130,175,1305
,"N","",645685,123708,769393
,"%","",83.9,16.1,100.0
,"CI","","( 81.4 - 86.5)","( 13.5 - 18.6)","n/a"





Year of interview 2020
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",782,128,910
,"N","",570632,108174,678806
,"%","",84.1,15.9,100.0
,"CI","","( 81.2 - 87.0)","( 13.0 - 18.8)","n/a"
"Yes","n","",87,18,105
,"N","",60607,16337,76944
,"%","",78.8,21.2,100.0
,"CI","","( 69.2 - 88.3)","( 11.7 - 30.8)","n/a"
"Total","n","",869,146,1015
,"N","",631238,124511,755749
,"%","",83.5,16.5,100.0
,"CI","","( 80.7 - 86.3)","( 13.7 - 19.3)","n/a"





Year of interview 2021
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",772,104,876
,"N","",616815,87533,704348
,"%","",87.6,12.4,100.0
,"CI","","( 84.8 - 90.3)","( 9.7 - 15.2)","n/a"
"Yes","n","",74,22,96
,"N","",52674,19199,71873
,"%","",73.3,26.7,100.0
,"CI","","( 62.1 - 84.5)","( 15.5 - 37.9)","n/a"
"Total","n","",846,126,972
,"N","",669489,106732,776220
,"%","",86.2,13.8,100.0
,"CI","","( 83.5 - 89.0)","( 11.0 - 16.5)","n/a"





Year of interview 2022
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",867,120,987
,"N","",602394,80601,682995
,"%","",88.2,11.8,100.0
,"CI","","( 85.9 - 90.5)","( 9.5 - 14.1)","n/a"
"Yes","n","",124,19,143
,"N","",81436,12371,93807
,"%","",86.8,13.2,100.0
,"CI","","( 79.8 - 93.8)","( 6.2 - 20.2)","n/a"
"Total","n","",991,139,1130
,"N","",683829,92972,776802
,"%","",88.0,12.0,100.0
,"CI","","( 85.9 - 90.2)","( 9.8 - 14.1)","n/a"





Year of interview 2023
"",,,"Currently smoking",,
,,,"No","Yes","Total"
"Reported current asthma","",""
"No","n","",1114,143,1257
,"N","",626065,94264,720329
,"%","",86.9,13.1,100.0
,"CI","","( 84.6 - 89.2)","( 10.8 - 15.4)","n/a"
"Yes","n","",151,17,168
,"N","",73062,8190,81252
,"%","",89.9,10.1,100.0
,"CI","","( 84.7 - 95.1)","( 4.9 - 15.3)","n/a"
"Total","n","",1265,160,1425
,"N","",699127,102454,801581
,"%","",87.2,12.8,100.0
,"CI","","( 85.1 - 89.3)","( 10.7 - 14.9)","n/a"

